id;source_type;mc_campaingn_id;tml_campaign_id;icon;color;create_date;create_uid;last_update;last_update_uid
1;Maine;open-source;synthesizing op;Grove York Intelligent;orange;2022-04-18T19:54:17;Lock;2022-04-19T11:01:43;Books
2;Adaptive Metal Borde;Ports Licensed ;Swaziland out-o;Chief;gold;2022-04-19T14:56:25;Soap Granite Ca;2022-04-18T17:53:34;Moldovan THX ge
3;payment;real-time;Locks;users quantify connecting;sky blue;2022-04-19T09:38:25;Cambridgeshire ;2022-04-19T01:04:32;Frozen
4;ability;Missouri Person;Home Account e-;5th;gold;2022-04-18T23:09:33;bypassing invoi;2022-04-18T20:05:24;Greenland
5;Steel District firew;Markets reconte;Lead global for;matrix e-commerce Licensed;purple;2022-04-18T21:11:50;compressing;2022-04-19T08:22:59;Junction fuchsi
6;Bedfordshire program;bandwidth;deposit Face In;partnerships;yellow;2022-04-18T22:18:00;Chair Garden;2022-04-18T21:48:01;incubate
7;attitude-oriented ey;override;Direct Auto;models Mississippi;mint green;2022-04-18T20:50:51;Bedfordshire di;2022-04-19T11:30:54;bus Outdoors dr
8;payment Nuevo Accoun;purple;Rand;didactic Organized;indigo;2022-04-18T18:02:05;driver Chips Pe;2022-04-18T16:46:45;Central
9;state Agent Metrics;policy;Credit transiti;optical;lime;2022-04-19T14:02:36;Vermont Account;2022-04-19T14:33:44;deposit overrid
10;Unbranded Renminbi;Buckinghamshire;reboot navigate;application cyan;lime;2022-04-18T20:11:00;applications;2022-04-19T15:35:57;Optional SAS Fa
