id;source_type;mc_campaingn_id;tml_campaign_id;icon;color;create_date;create_uid;last_update;last_update_uid
1;hacking;digital;auxiliary tools;withdrawal olive;purple;2022-04-19T04:51:43;secured salmon;2022-04-18T18:08:28;payment synergi
2;end-to-end;Carolina Strate;optical Savings;Unbranded Rapids;gold;2022-04-18T22:54:38;Shoes deliverab;2022-04-18T20:19:05;copying bluetoo
3;Supervisor adapter;panel exuding G;Louisiana;Account Enhanced connecting;indigo;2022-04-19T00:25:53;Soft Functional;2022-04-18T16:42:42;Kids demand-dri
4;Shoes Vista;Hat payment;Chad Developer;out-of-the-box seize Metal;cyan;2022-04-18T18:04:47;Guyana infrastr;2022-04-18T21:30:01;bus Nevada
5;Sleek;Account program;interactive abi;schemas;olive;2022-04-19T09:00:59;Games;2022-04-19T00:26:59;invoice AI Faso
6;THX;reboot;Tools;Trail Accountability;red;2022-04-18T19:41:39;Views;2022-04-19T08:39:46;Kuwait Regional
7;recontextualize Shir;line;Movies;Guadeloupe;teal;2022-04-19T15:30:32;Ports Sausages;2022-04-19T15:17:01;invoice lime Me
8;interface;open-source Mar;ROI;optical Incredible Planner;orange;2022-04-19T10:40:55;IB;2022-04-19T11:24:15;back-end magnet
9;feed Chicken;Refined Mountai;mission-critica;Bike SQL;sky blue;2022-04-19T06:53:35;platforms Assis;2022-04-19T13:06:24;Street
10;Markets transmitting;dynamic Pass Ci;synthesize wire;Pa'anga Marketing Salad;sky blue;2022-04-18T21:45:31;Tactics Sausage;2022-04-19T13:29:29;e-tailers exper
